,question_id,question
0,1,我想知道我贷记卡的自动还款账号
1,2,查一下我哪个贷记卡账号在自动还款
2,3,你们哪几个网点可以购买个人存款证明
3,4,怎么样才能进行借记卡短信提醒开通
4,5,借记卡短信提醒开通需要哪些材料
5,6,怎样自助开通企业手机银行
6,7,贷记卡销户在哪儿办
7,8,贷记卡的销户需要带什么
8,9,我怎么才能办信用卡的销户
9,10,在电话里面能办信用卡销户嘛
10,11,去柜台办信用卡的销户要带什么
11,12,基金多少次无法扣款会取消定投
12,13,存折短信通知号码修改需要准备些什么
13,14,想要进行存折短信通知号码修改该怎么办
14,15,借记卡的余额可以在语音里面查吗
15,16,怎么在客服热线查询借记卡明细
16,17,办理个人存款证明要提交哪些手续
17,18,我用电子钱包卡在消费商家说没有收到钱但是我已经扣款了
18,19,电子钱包卡金额核对不上怎么查询
19,20,我的电子钱包卡刚刚圈存的钱怎么没有到账
20,21,电子钱包卡上钱已扣商家查不到这一笔记录
21,22,企业网银可不可以跨行批量转账
22,23,企业网银代发的工资可以转到其他银行吗
23,24,公司发工资可以发到其他银行吗
24,25,向其他行账户批量转账如何操作
25,26,组织机构代码证信息如何同步到企业网银
26,27,客户组织机构代码证获取失败该怎么处理
27,28,怎么才能用蜜蜂校园卡做校园充值
28,29,蜜蜂校园卡能不能在学校里面充值
29,30,问一下蜜蜂校园卡怎么用来校园充值
30,31,如何连接手机银行蓝牙蜜盾
31,32,信用卡商城地址发一下
32,33,信用卡的商城在哪儿
33,34,我需要去信用卡商城消费
34,35,信用卡是不是有商城
35,36,有信用卡商城的网站吗
36,37,企业网银电子票据提示付款后如何查找
37,38,我的综合积分现在还能兑换礼品嘛
38,39,我的综合积分可以兑换什么物品
39,40,我能不能拿我的综合积分兑换物品
40,41,一卡通代扣怎么办理
41,42,水电煤气可以绑定代扣吗
42,43,我想绑定一卡通代扣业务
43,44,我想改一下我信用卡的免密支付额度
44,45,我的信用卡的免密支付的额度能不能修改
45,46,是不是赎回周周利之后本金也是一起退的
46,47,周周利赎回本金同时退回嘛
47,48,周周利赎回本金什么时候到账
48,49,我不想续费周周利了本金什么时候回来
49,50,借记卡活期转定期怎么进行
50,51,我想知道怎么才能关掉手机银行
51,52,手机银行能不能关闭
52,53,关闭手机银行的手续是怎么用的
53,54,信用卡年费怎么算
54,55,信用卡要年费嘛
55,56,信用卡要不要交年费
56,57,我的信用卡一年交多少年费
57,58,准备哪些材料才能进行办理企业五证合一
58,59,企业五证合一如何办理
59,60,我想知道黄金的购买时间
60,61,什么时候能买你们的黄金
61,62,你们的黄金的购买有时间段嘛
62,63,如何进入企业网上银行操作界面
63,64,企业网上银行登陆入口在哪
64,65,这张卡能不能网购
65,66,这张卡我要网上购物
66,67,这张卡要开通网银
67,68,这张卡怎么开通网银
68,69,我的卡能不能开通网银
69,70,我要添加到支付宝
70,71,如何购买基金
71,72,基金要怎么购买
72,73,购买基金要提交什么资料
73,74,哪里可以购买基金
74,75,单日网银转账有限额吗
75,76,网银转账交易限额超过当日限额怎么办
76,77,信用卡的额度是多少
77,78,我想查一下我贷记卡的额度
78,79,我想看我的贷记卡额度
79,80,提示我说beekey密码锁了
80,81,我想问一下beekey被锁了要怎么办
81,82,登录网银的时候多试了几次beekey密码被锁了
82,83,我需要查企业网银大批量转账的记录
83,84,怎么查询企业网银批量代发明细
84,85,企业网银代发工资结果查询
85,86,账号进行挂失新开或者销户不想丢失签约的理财
86,87,账号进行挂失新开或者销户时能不能保留基金
87,88,五一服务卡销户的程序是什么
88,89,visa在国外的单日取款额度
89,90,visa在国外取现最多每天刷多少钱
90,91,我想知道visa信用卡在国外每天可以取多少钱
91,92,visa信用卡境外取现单日限额
92,93,visa信用卡是不是在国外取现金每日都有额度
93,94,visa的国外单笔取现最多是多少
94,95,借记卡小额付款不需要密码能不能关闭
95,96,借记卡小额免密关闭
96,97,我想借记卡小额付款不输密码
97,98,在非工作日可以操作企业网银小额交易吗
98,99,企业网银小额业务交易时间
99,100,我可以在网上用蜜蜂贷记卡吗
100,101,我能不能网上支付的时候用你们的蜜蜂贷记卡
101,102,蜜蜂贷记卡是否支持网上支付
102,103,蜜蜂信用卡可以网上支付吗
103,104,你们的蜜蜂信用卡支持网上付款吗
104,105,想取消企业网银已调教的交易该怎么操作
105,106,企业网银已提交的交易是否可以支付
106,107,如何办理网银证书过期问题
107,108,网银证书到期更换
108,109,我的网银证书过期了要补办吗
109,110,信用卡账单需要补寄
110,111,先前发给我的贷记卡账单找不到了能不能再寄一份
111,112,企业网银不同登录方式有什么区别
112,113,企业网银的所有登录方式
113,114,企业网银还能通过其他方式登录吗
114,115,企业网银有哪几种登录方法
115,116,电子标签的优惠期限
116,117,电子标签是不是有通行优惠
117,118,etc的电子标签有没有优惠
118,119,你们的电子标签通行打几折
119,120,电子钱包卡的损坏是否需要补办
120,121,电子钱包卡坏了的话补办要不要钱
121,122,电子钱包卡怎么会坏
122,123,办理手机银行业务需要什么材料
123,124,企业账户现金怎么进行取款
124,125,企业账户现金取款需要准备些什么
125,126,visa信用卡丢了怎么办
126,127,visa信用卡丢失怎么补办
127,128,怎么补一张visa信用卡
128,129,怎么设置常用付款账户
129,130,电子商业承兑汇票怎么转换成纸质商业承兑汇票
130,131,纸质商承能否转换为电子汇票
131,132,柜面的电子票据能否转成纸质票据
132,133,企业网银电票兑付完成后是否有提示
133,134,银行在企业网银电票兑现成功后是否会提示
134,135,融合卡如何办理注销
135,136,我要把融合卡注销
136,137,融合卡哪里可以销户
137,138,融合卡会自动注销吗
138,139,校园卡圈存以后会有短信提醒吗
139,140,校园卡的圈存短信怎么没有收到
140,141,我在国外把卡丢了
141,142,信用卡在国外被盗刷
142,143,境外挂失
143,144,境外盗刷
144,145,存折活期余额查询需要哪些材料
145,146,想要进行存折活期余额查询该怎么办
146,147,借记IC卡交易密码遗忘如何处理
147,148,借记IC卡交易密码遗忘怎么进行找回
148,149,我的网银专业版显示数字签名错误怎么办
149,150,金领卡消费是不是可以免手续费的
150,151,金领卡消费的手续费怎么算
151,152,金领卡消费的手续费如何收取
152,153,金领卡去消费要收取手续费吗
153,154,什么情况下会变为不动户
154,155,账户为什么会转为不动户
155,156,账户变为不动户的条件
156,157,怎么样就是不动户了
157,158,不动户的生成条件
158,159,理财风险评估只能在网点柜台办理吗
159,160,做理财风险评估的渠道有哪些
160,161,手机银行可以做理财风险评估吗
161,162,企业开户最多跑一次的标准是什么
162,163,企业网银证书信息有误怎么办
163,164,蓝牙蜜盾怎么和手机匹配
164,165,存款利率
165,166,定期利率是多少
166,167,定期存款有多少利息
167,168,存款利息是多少
168,169,查一下定期存款的利率
169,170,存折磁性没有了怎么办
170,171,存折不能读取磁条了
171,172,存折刷不出来怎么办
172,173,存折没磁性了可以换吗
173,174,存折没磁了
174,175,存折可以补磁吗
175,176,我需要etc的电子发票
176,177,etc开的发票是纸质的吗
177,178,etc能不能开电子发票
178,179,etc能开发票吗
179,180,时间银行卡简单了解一下
180,181,时间银行卡是什么
181,182,怎么使用你们的银行卡通过手机支付进出闸机
182,183,我的手机绑定了你们的银行卡怎么进出闸机
183,184,开通电子票据业务后菜单在哪
184,185,为什么已经开通了电子票据业务却找不到按钮
185,186,怎么才能购买企业支票
186,187,我想办一下蜜蜂校园卡的销户
187,188,蜜蜂校园卡销户的程序是什么
188,189,你们怎么把贷记卡账单寄给我呢
189,190,你们的贷记卡寄送有哪几种方式
190,191,你们的信用卡账单寄送方式有哪些
191,192,贷记卡的账单可以怎么寄
192,193,怎么打印网银电子回单
193,194,打印电子票据入口
194,195,个人存款证明的计费方式是什么
195,196,我的etc还能不能再加几辆车
196,197,我的etc签约了还能多增加车辆嘛
197,198,我的etc已经签约是否还能新加车辆
198,199,我能不能在etc上多加几辆车
199,200,我想在我的etc上再多加几辆车
200,201,信用卡的消费记录是怎么样的
201,202,信用卡的交易流水可以看吗
202,203,我想看一下最近信用卡的流水
203,204,信用卡最近的交易
204,205,用五一服务卡坐地铁打折嘛
205,206,我想了解一下五一服务卡坐地铁是打几折
206,207,五一服务卡在宁波坐地铁打几折
207,208,在哪里下载企业网银软件
208,209,如何将企业网银下载到桌面
209,210,信用卡每个不同的分期是各收多少的手续费
210,211,信用卡每次分期收费多少
211,212,信用卡可以怎么分期
212,213,信用卡分期还款是什么样的利息
213,214,1类户是什么
214,215,一类户是什么
215,216,一类户有哪些功能
216,217,1类户有哪些功能
217,218,我的积分现在是几分了
218,219,我的个人积分现在是多少
219,220,请问一下我的积分是多少
220,221,我的积分现在能查吗
221,222,我的个人积分已经积累的怎么样了
222,223,我需要查一下我的积分
223,224,visa信用卡的利息是在消费之后多久给
224,225,visa消费免收利息的时间
225,226,什么时间之内visa信用卡不用利息
226,227,你们的ATM机取款是额度限制的嘛
227,228,我要是在国内的ATM机上取款有没有额度限制
228,229,借记卡ATM取款额度是多少
229,230,蓝牙蜜盾要充电才能使用吗
230,231,蓝牙蜜盾的充电方法
231,232,插入蓝牙蜜盾为什么没反应
232,233,你们的资金托管业务和哪些证券公司有合作
233,234,你们可以办理所有证券公司的资金托管业务
234,235,网银转账业务收费标准
