,question_id,question
0,1,我想知道我贷记卡的自动还款账号
1,1,我想知道我贷记卡哪个账号在自动扣款
2,1,我贷记卡哪个账号在自动还款
3,1,贷记卡查询自扣还款账号
4,1,贷记卡自动还款的是哪个账号
5,1,帮忙查一下我贷记卡的自动还款账号
6,1,查一下贷记卡的自动还款账号
7,1,我需要知道我贷记卡的自动还款账号
8,1,我想看看我的贷记卡自动还款账号是哪个
9,1,我的贷记卡能不能设置一个自动还款的账号
10,1,贷记卡设置自扣还款账号
11,1,贷记卡怎么设置自动还款的账号
12,2,查一下我哪个贷记卡账号在自动还款
13,2,我的贷记卡在自动还款的是哪个账号
14,3,你们哪几个网点可以购买个人存款证明
15,3,购买个人存款证明有指定网点吗
16,3,我可以去哪些网点购买个人存款证明
17,3,购买个人存款证明的受理网点在哪里
18,3,你们所有的网点都可以购买个人存款证明吗
19,3,你们有个人的存款证明吗
20,3,哪里可以打印个人存款证明
21,3,个人存款证明的计费标准是怎样的
22,3,个人存款证明是免费的吗
23,3,个人存款证明要收费吗
24,3,个人存款证明有英文格式吗
25,3,我想打印英文格式的个人存款证明
26,4,怎么样才能进行借记卡短信提醒开通
27,4,借记卡短信提醒开通怎么进行
28,4,想要进行借记卡短信提醒开通该怎么办
29,4,借记卡短信提醒该怎么开通
30,4,怎么样才能进行借记卡活期余额查询
31,4,怎么样才能进行借记卡短信通知解除
32,4,怎么样才能进行借记卡短信通知号码修改
33,4,怎么样才能进行借记卡交易明细查询
34,4,怎么样才能进行存折短信提醒开通
35,4,怎么样才能进行借记卡ATM转账撤销
36,5,借记卡短信提醒开通需要哪些材料
37,5,借记卡短信提醒开通需要准备些什么
38,5,借记卡交易密码遗忘找回需要哪些材料
39,5,借记卡短信通知解除需要哪些材料
40,5,借记卡交易密码修改需要哪些材料
41,5,借记卡短信通知号码修改需要哪些材料
42,5,借记卡交易明细查询需要哪些材料
43,5,存折短信提醒开通需要哪些材料
44,6,怎样自助开通企业手机银行
45,6,自助开通手机银行的方法
46,6,想开通企业手机银行该如何操作
47,6,企业手机银行要怎么自助开通
48,6,自助办理企业手机银行
49,6,自助开通企业手机银行
50,6,如何开通企业手机银行
51,6,我想开通企业手机银行应该怎么操作
52,6,开通企业手机银行需要带什么证件
53,6,开通企业手机银行需要准备什么东西
54,6,自助开通企业手机银行需要具备哪些条件
55,6,自助开通企业手机银行有哪些限制
56,6,自助开通企业手机银行有哪些条件
57,6,哪些客户可自助开通企业手机银行
58,6,符合什么条件的客户可以自助开通企业手机银行
59,7,贷记卡销户在哪儿办
60,7,贷记卡销户
61,7,在哪儿可以办信用卡的销户
62,7,在哪儿可以办贷记卡的销户
63,7,信用卡销户在哪儿办
64,7,五一服务卡销户在哪儿办
65,7,在哪儿可以办五一服务卡的销户
66,7,我可以在哪儿办五一服务卡销户
67,7,在哪儿可以办蜜蜂校园卡的销户
68,7,我可以在哪儿办蜜蜂校园卡销户
69,7,蜜蜂校园卡销户在哪儿办
70,7,社保卡可以在哪儿办
71,7,我能去哪儿办社保卡
72,7,贷记卡的全额取现能在哪儿办
73,7,我想办一张贷记卡
74,7,我可以在哪儿办etc销户
75,7,在哪儿可以办ETC的销户
76,7,ETC销户在哪儿办
77,7,etc在哪儿办
78,7,贷记卡查询积分在哪儿看
79,7,我可以在哪儿看我贷记卡的积分
80,8,贷记卡的销户需要带什么
81,8,信用卡的销户需要带什么
82,8,五一服务卡的销户需要带什么
83,8,五一服务卡的销户需要什么资料
84,8,蜜蜂校园卡的销户需要带什么
85,8,蜜蜂校园卡的销户需要什么资料
86,8,电子钱包卡的销户需要带什么
87,8,社保卡的办理需要什么资料
88,8,办理贷记卡需要什么手续
89,8,etc的销户需要什么资料
90,8,ETC的销户需要带什么
91,8,开通贷记卡的电子账单需要带什么
92,9,我怎么才能办信用卡的销户
93,9,我怎么才能办贷记卡的销户
94,9,我怎么才能办五一服务卡的销户
95,9,我怎么才能办蜜蜂校园卡的销户
96,9,我怎么才能办信用卡的分期还款
97,9,我怎么才能办ETC的销户
98,10,在电话里面能办信用卡销户嘛
99,10,在电话里面能办贷记卡销户嘛
100,10,在电话里面能办五一服务卡销户嘛
101,10,在电话里面能办蜜蜂校园卡销户嘛
102,10,我在外地能办这儿的etc嘛
103,10,在电话里面能办电子钱包卡销户嘛
104,10,在电话里面能办ETC销户嘛
105,11,去柜台办信用卡的销户要带什么
106,11,去柜台办贷记卡的销户要带什么
107,11,去柜台办五一服务卡的销户要带什么
108,11,我要是去网点办企业手机银行需要带什么
109,11,去柜台办蜜蜂校园卡的销户要带什么
110,11,去柜台办电子钱包卡的销户要带什么
