"FQ_ID","QUESTION"
"1","我想知道我贷记卡的自动还款账号"
"1","我想知道我贷记卡哪个账号在自动扣款"
"1","我贷记卡哪个账号在自动还款"
"1","贷记卡查询自扣还款账号"
"1","贷记卡自动还款的是哪个账号"
"1","帮忙查一下我贷记卡的自动还款账号"
"1","查一下贷记卡的自动还款账号"
"1","查一下我哪个贷记卡账号在自动还款"
"1","我需要知道我贷记卡的自动还款账号"
"1","我的贷记卡在自动还款的是哪个账号"
"1","我想看看我的贷记卡自动还款账号是哪个"
"10","你们哪几个网点可以购买个人存款证明"
"10","购买个人存款证明有指定网点吗"
"10","我可以去哪些网点购买个人存款证明"
"10","购买个人存款证明的受理网点在哪里"
"10","你们所有的网点都可以购买个人存款证明吗"
"100","怎么样才能进行借记卡短信提醒开通"
"100","借记卡短信提醒开通怎么进行"
"100","借记卡短信提醒开通需要哪些材料"
"100","借记卡短信提醒开通需要准备些什么"
"100","想要进行借记卡短信提醒开通该怎么办"
"100","借记卡短信提醒该怎么开通"
"101","怎样自助开通企业手机银行"
"101","自助开通手机银行的方法"
"101","想开通企业手机银行该如何操作"
"101","企业手机银行要怎么自助开通"
"101","自助办理企业手机银行"
"101","自助开通企业手机银行"
"101","如何开通企业手机银行"
"102","贷记卡销户在哪儿办"
"102","贷记卡销户"
"102","贷记卡的销户需要带什么"
"102","我怎么才能办信用卡的销户"
"102","我怎么才能办贷记卡的销户"
"102","在哪儿可以办信用卡的销户"
"102","在哪儿可以办贷记卡的销户"
"102","在电话里面能办信用卡销户嘛"
"102","在电话里面能办贷记卡销户嘛"
"102","信用卡的销户需要带什么"
"102","去柜台办信用卡的销户要带什么"
"102","去柜台办贷记卡的销户要带什么"
"102","信用卡销户在哪儿办"
"103","基金多少次无法扣款会取消定投"
"103","基金定投多少次扣款不成功后取消"
"103","基金定投第几次扣款不成功的时候会取消"
"103","基金定投的时候扣款多次是不是会被取消"
"103","几次扣款没有成功会取消基金定投"
"104","存折短信通知号码修改需要准备些什么"
"104","想要进行存折短信通知号码修改该怎么办"
"104","存折短信通知号码修改需要哪些材料"
"104","存折短信通知号码该怎么修改"
"104","怎么样才能进行存折短信通知号码修改"
"104","存折短信通知号码修改怎么进行"
"105","借记卡的余额可以在语音里面查吗"
"105","借记卡消费明细能在语音查吗"
"105","可以在电话里面查借记卡余额吗"
"105","怎么在客服热线查询借记卡明细"
"105","怎么在你们的电话里面查借记卡余额"
"105","怎么在语音系统查借记卡余额"
"106","你们有个人的存款证明吗"
"106","哪里可以打印个人存款证明"
"106","办理个人存款证明要提交哪些手续"
"106","个人存款证明怎么办理"
"106","我想办理个人的存款证明"
"107","我用电子钱包卡在消费商家说没有收到钱但是我已经扣款了"
"107","电子钱包卡金额核对不上怎么查询"
"107","我的电子钱包卡余额和上一笔支付后的金额核对不上"
"107","我的电子钱包卡刚刚圈存的钱怎么没有到账"
"107","电子钱包卡上钱已扣商家查不到这一笔记录"
"108","企业网银可不可以跨行批量转账"
"108","企业网银代发的工资可以转到其他银行吗"
"108","公司发工资可以发到其他银行吗"
"108","公司发工资必须发到你们银行吗"
"108","向其他行账户批量转账如何操作"
"108","企业网银能否向其他银行账户批量转账"
"108","怎么向其他银行账户批量转账"
"108","批量转账对象可否为其他行"
"108","你们可以把工资发到其他银行吗"
"108","能不能向其他银行账户批量转账"
"108","企业网银的代发工资必须转到你们银行吗"
"109","组织机构代码证信息如何同步到企业网银"
"109","客户组织机构代码证获取失败该怎么处理"
"109","如何解决客户组织机构代码证获取失败"
"109","怎么才能解决客户组织机构代码证获取失败的问题"
"109","企业网银如何同步组织机构代码证信息"
"109","提示客户组织机构代码证获取失败怎么办"
"11","怎么才能用蜜蜂校园卡做校园充值"
"11","我想知道蜜蜂校园卡怎么校园充值的"
"11","请问一下蜜蜂校园卡的校园充值是怎么做的"
"11","蜜蜂校园卡怎么校园充值"
"11","蜜蜂校园卡怎么实现校园充值"
"11","蜜蜂校园卡能不能在学校里面充值"
"11","问一下蜜蜂校园卡怎么用来校园充值"
"11","蜜蜂校园卡的校园充值怎么做"
"110","如何连接手机银行蓝牙蜜盾"
"110","手机银行蓝牙蜜盾连接步骤"
"110","手机银行蓝牙蜜盾连接方法"
"110","为什么蓝牙蜜盾和手机连接不上"
"110","蓝牙蜜盾如何和手机匹配"
"111","信用卡商城地址发一下"
"111","信用卡的商城在哪儿"
"111","提供一下信用卡的商城地址"
"111","我需要去信用卡商城消费"
"111","信用卡是不是有商城"
"111","有信用卡商城的网站吗"
"111","发一下信用卡的商城网址"
"111","我找一下信用卡商城"
"112","企业网银电子票据提示付款后如何查找"
"112","企业网银电子票据已经逾期提示付款为什么查不到"
"112","企业网银电子票据逾期后如何查找"
"112","企业网银电子票据逾期后提示付款"
"112","为什么企业网银电子票据已经逾期提示付款却查不到"
"113","我的综合积分现在还能兑换礼品嘛"
"113","我的综合积分可以兑换什么物品"
"113","我的综合积分可以兑换物品嘛"
"113","你们最近综合积分兑换有什么物品参加活动"
"113","现在的综合积分兑换有活动嘛"
"113","我能不能拿我的综合积分兑换物品"
"113","我的综合积分能不能兑换东西"
"113","我的综合积分想换物品"
"114","一卡通代扣怎么办理"
"114","你们有一卡通代扣业务吗"
"114","水电煤气可以绑定代扣吗"
"114","哪里可以办理一卡通代扣"
"114","我想绑定一卡通代扣业务"
"115","我想改一下我信用卡的免密支付额度"
"115","信用卡的免密支付额度可以更改嘛"
"115","信用卡的免密额度是不是可以修改"
"115","我的信用卡的免密支付的额度能不能修改"
"115","我的信用卡免密额度能不能修改"
"115","我的信用卡免密支付的额度是否可以修改"
"115","我需要修改信用卡的免密支付额度"
"115","我需要修改我信用卡的免密支付额度"
"115","我想修改信用卡的免密额度"
"116","是不是赎回周周利之后本金也是一起退的"
"116","赎回周周利之后本金也一起退嘛"
"116","周周利赎回本金同时退回嘛"
"116","周周利赎回本金什么时候到账"
"116","周周利的本金什么时候退"
"116","周周利的本金什么时候到账"
"116","周周利的本金和赎回同时到账嘛"
"116","周周利不买之后什么时候本金到账"
"116","我不想续费周周利了本金什么时候回来"
"116","我的周周利不买了本金什么时候退"
"117","借记卡活期转定期怎么进行"
"117","准备哪些材料才能进行借记卡活期转定期"
"117","借记卡活期转定期怎么办"
"117","借记卡活期转定期需要准备些什么"
